match_id_hash,r_num_damage,r_num_damage_taken,r_damage,r_damage_taken,r_damage_net,d_num_damage,d_num_damage_taken,d_damage,d_damage_taken,d_damage_net
a400b8f29dece5f4d266f49f1ae2e98a,20,17,8736,4242,4494,18,11,9445,1555,7890
b9c57c450ce74a2af79c9ce96fac144d,66,46,69765,21203,48562,70,57,46818,24459,22359
6db558535151ea18ca70a6892197db41,1,1,70,68,2,1,1,68,70,-2
46a0ddce8f7ed2a8d9bd5edcbb925682,40,32,50381,15246,35135,59,53,69031,22808,46223
b1b35ff97723d9b7ade1c9c3cf48f770,26,27,37913,15867,22046,42,36,54223,9404,44819
19c39fe2af2b547e48708ca005c6ae74,23,19,5345,2816,2529,19,19,8773,3460,5313
c96d629dc0c39f0c616d1949938a6ba6,61,44,119781,28450,91331,53,39,90519,31680,58839
156c88bff4e9c4668b0f53df3d870f1b,61,46,57878,21552,36326,49,48,56750,14269,42481
df50f738c454d430a33b2bf90cb9ef1a,51,51,45306,19136,26170,61,41,71453,11535,59918
7469e9440ea3d19b211a484647c7126e,95,53,113237,33039,80198,79,56,120648,31290,89358
0aa1c6d7630433a93fe42da5ac810368,101,88,279784,81289,198495,145,116,365237,57460,307777
892b5d40992e4b334e159f99b2bb55e6,40,34,61519,13176,48343,50,36,50743,17092,33651
44eb0c077ca68678bb9bfead29e9c455,95,72,189628,46920,142708,129,113,254907,45134,209773
eda82a5a0ae96848e73929c643925633,72,56,114016,26933,87083,71,55,112535,24493,88042
ab3cc6ccac661a1385e73a2e9f21313a,59,42,67030,22004,45026,51,38,72194,22461,49733
a3c3892648b873bb869dd81ca0f62286,4,4,387,422,-35,4,4,422,387,35
34c81a8faede0d8f1f87dcc6ee824658,108,93,226274,45833,180441,131,119,260037,57155,202882
5feece770ca79e5e8cd8052198b3f533,149,116,586406,134343,452063,153,121,503035,188928,314107
54aaab1cb8cc5df3c253641618673266,49,39,72741,23359,49382,54,41,99694,21226,78468
c95069179039952da9db7635ee22972b,168,113,563417,99031,464386,158,129,512899,127012,385887
8f56cc2468ba5c37edb79f3a7b4af6e6,140,101,404755,77110,327645,172,137,515775,111536,404239
171d8515f371cdf5d03c44575cee70c7,51,36,56954,22680,34274,40,36,67367,19982,47385
44cdded6d3311134563f743eb77685b2,68,39,80148,23595,56553,77,63,100481,33803,66678
086e5ed8fee6258a3b6ed9127f833573,189,132,456457,94378,362079,108,94,323347,109321,214026
b6f39b49177535c9417eecd8c696674d,33,27,17668,9879,7789,36,26,26492,6584,19908
8ca9e390d39160645953a682a8d6f225,17,13,6854,2346,4508,17,10,7605,2384,5221
4b6e4e511d399180776d0f23984466b2,126,82,287534,53063,234471,132,99,246589,54509,192080
fb4860c8425b62dbe413214beb6650c8,81,69,106114,30527,75587,90,64,102648,33393,69255
06b147af8683a7973e6f431c412448b7,47,35,52834,19632,33202,71,55,125813,20861,104952
7d30c0cc9a54fbf92d3fcddcab73d794,122,102,276783,56860,219923,88,80,242823,42601,200222
64ed11373bcf2cfea7a60ede637b70d2,164,147,457635,97148,360487,131,108,329385,75183,254202
95a57e13d66411aa89e23c2dafa116dd,70,58,72652,34611,38041,86,76,128969,25344,103625
00a7f372afae35b59ce3819155d95318,175,141,764602,167608,596994,212,132,920106,153227,766879
bf366db368cc34b63235973dd3f50b0b,65,51,113357,40796,72561,57,45,111592,38540,73052
70e55187a655b6daacbf58a832d662db,18,17,3097,2974,123,20,15,4411,2045,2366
a26ea6c7d63eb1df557dbcae742b4705,60,38,89332,36617,52715,68,56,120385,34218,86167
88f9976aa7627b1f0d3e60d4b0483956,68,53,89245,26439,62806,76,42,113038,19479,93559
466e3043a03c98361c311c58d0ecbbf1,58,50,61209,35241,25968,96,59,128058,25395,102663
52691d68dd7b50eddb3092220d4aabb9,113,81,298853,64711,234142,118,99,291950,64414,227536
73669c2af74776b891fb94a1d1099d25,12,14,2388,2791,-403,17,15,3479,2192,1287
fa72fbcde4aaf1023c3df5dc7d739674,25,19,20615,6145,14470,45,35,36367,9637,26730
7174c98d3b2e4ac2b9f5947935cbdd52,60,47,99683,25395,74288,87,66,106745,26668,80077
3c666e1759bfab4467d11010983fb13e,0,0,0,0,0,0,0,0,0,0
4a0fdc67b9a1e360dae065ff12fade95,62,50,80005,27751,52254,75,67,106857,26370,80487
ba1e963ea091e6af635dedd4ad2e9bbd,7,1,1157,1,1156,0,7,0,1098,-1098
86d60b73cbfdbf0a6c291dad12d967f0,89,61,168301,65391,102910,97,71,263053,52308,210745
